cellId,FID_1,FID_1_1,ID_NIL,NIL,AreaHA,AreaMQ
1461,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1462,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1558,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1559,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1560,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1561,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1562,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1563,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1657,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1658,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1659,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1660,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1661,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1662,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1663,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1664,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1754,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1755,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1756,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1757,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1758,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1759,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1760,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1761,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1762,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1763,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1764,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1765,61,61,39,QUINTOSOLE,105.75288,1057528.77299
1766,61,61,39,QUINTOSOLE,105.75288,1057528.77299
1854,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1855,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1856,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1857,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1858,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1859,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1860,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1861,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1862,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1863,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1864,61,61,39,QUINTOSOLE,105.75288,1057528.77299
1865,61,61,39,QUINTOSOLE,105.75288,1057528.77299
1866,61,61,39,QUINTOSOLE,105.75288,1057528.77299
1954,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1955,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1956,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1957,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1958,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1959,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1960,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1961,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1962,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1963,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1964,61,61,39,QUINTOSOLE,105.75288,1057528.77299
1965,61,61,39,QUINTOSOLE,105.75288,1057528.77299
1966,61,61,39,QUINTOSOLE,105.75288,1057528.77299
1967,61,61,39,QUINTOSOLE,105.75288,1057528.77299
1968,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1969,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
1970,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
2052,43,43,41,GRATOSOGLIO - TICINELLO,331.28183,3312818.31794
2053,43,43,41,GRATOSOGLIO - TICINELLO,331.28183,3312818.31794
2054,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
2055,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
2056,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
2057,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
2058,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
2059,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
2060,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
2061,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
2062,64,64,85,PARCO DELLE ABBAZIE,1372.20000,13722000.00000
2063,61,61,39,QUINTOSOLE,105.75288,1057528.77299
2064,61,61,39,QUINTOSOLE,105.75288,1057528.77299
