,prefix,country_name,country_cca,Remittance,PopStranieraMI,PopStraniera,AvgMIRemittance,GDPpercapita
0,880,Bangladesh,BGD,278,5988,80639,20.64341076,822.0
1,221,Senegal,SEN,247,2385,72458,8.130158161,1017.0
2,92,Pakistan,PAK,208,1317,69877,3.920259885,1201.0
3,91,India,IND,631,1118,116797,6.040035275,1516.0
4,234,Nigeria,NGA,1288,554,47338,15.07355613,1555.0
5,373,Moldova,MDA,240,3377,130619,6.204916589,2064.0
6,63,Philippines,PHL,743,39858,129015,229.54302990000002,2587.0
7,94,Sri Lanka,LKA,272,16125,71203,61.59852815,2816.0
8,212,Morocco,MAR,1070,8720,407097,22.91935337,2952.0
9,20,Egypt,EGY,541,35970,65985,294.91202549999997,3115.0
10,355,Albania,ALB,386,5805,451437,4.9635497310000005,3809.0
11,380,Ukraine,UKR,187,7820,178534,8.190820796,3872.0
12,216,Tunisia,TUN,412,1757,82066,8.820754027000001,4150.0
13,381,Serbia,SRB,0,629,43608,0.0,5315.0
14,213,Algeria,DZA,44,678,20774,1.436025801,5380.0
15,593,Ecuador,ECU,218,14909,80645,40.3020894,5648.0
16,86,China,CHN,1406,23967,194510,173.24354530000002,6070.0
17,51,Peru,PER,236,21142,93905,53.13361376,6825.0
18,359,Bulgaria,BGR,52,1786,40982,2.266165634,7004.0
19,40,Romania,ROU,1077,14409,823100,18.85371522,7787.0
20,230,Mauritius,MUS,21,1387,7549,3.85839184,9238.0
21,90,Turkey,TUR,4,1295,16226,0.319240725,10653.0
22,55,Brazil,BRA,177,3874,37208,18.42877876,11347.0
23,36,Hungary,HUN,33,220,5979,1.214249875,12490.0
24,48,Poland,POL,254,1193,84619,3.581016084,12820.0
25,385,Croatia,HRV,50,480,16693,1.437728389,13105.0
26,7,Russia,RUS,14,1627,28550,0.7978283709999999,14178.0
27,421,Slovakia,SVK,31,179,7244,0.766013252,16774.0
28,372,Estonia,EST,2,54,905,0.11933701699999999,17335.0
29,420,Czech Republic,CZE,38,223,5134,1.650564862,18428.0
30,351,Portugal,PRT,11,486,4200,1.272857143,20006.0
31,386,Slovenia,SVN,16,75,2137,0.561534862,21947.0
32,30,Greece,GRC,5,561,5031,0.557543232,22377.0
33,34,Spain,ESP,165,2093,14959,23.08610201,28278.0
34,972,Israel,ISR,4,487,1686,1.15539739,31537.0
35,49,Germany,DEU,201,2120,35109,12.13705887,37536.53997
36,44,United Kingdom,GBR,61,2136,22752,5.726793249,39367.0
37,33,France,FRA,443,4238,23959,78.36028215,39617.0
38,32,Belgium,BEL,166,319,4801,11.02978546,43707.0
39,353,Ireland,IRL,4,252,2068,0.48742746600000003,46032.0
40,31,Netherlands,NLD,19,486,7167,1.28840519,46073.0
41,43,Austria,AUT,42,378,5982,2.653961886,46604.0
42,81,Japan,JPN,32,2344,5812,12.90571232,46838.0
43,1,United States,USA,36,1237,12202,3.649565645,51163.0
44,46,Sweden,SWE,29,352,2617,3.900649599,55072.0
45,45,Denmark,DNK,13,154,1790,1.118435754,56253.0
46,41,Switzerland,CHE,34,808,8134,3.37742808,78924.0
